ds,yhat,yhat_lower,yhat_upper
2025-06-12 21:16:30.711,5264.026977504966,1623.2616991638677,8862.837987532992
2025-06-12 21:16:31.279,5264.043509258461,1805.2875291137887,8877.49112460464
2025-06-12 21:16:34.386,5264.133939114288,1402.9843872908232,8843.103425160127
2025-06-12 21:16:35.372,5264.162636841306,1827.312219013052,8829.168305018604
2025-06-12 21:16:38.329,5264.248700917158,1697.0777787519505,9075.588079876605
2025-06-12 21:16:39.708,5264.288836987704,1595.8982856754258,8843.338286348813
2025-06-12 21:16:42.305,5264.364423191624,1766.7312463957799,8868.936657776138
2025-06-12 21:16:43.391,5264.396031438625,1484.4255929345902,8791.83041365978
2025-06-12 21:16:46.377,5264.4829397720705,1672.053048938842,8831.82098315596
2025-06-12 21:16:49.368,5264.5699936318615,1769.9880450656765,8660.98120259926
2025-06-12 21:16:50.366,5264.599040690394,1622.19167238968,8869.049058341563
2025-06-12 21:16:53.350,5264.685890813303,1405.2965169678307,8994.961385230643
2025-06-12 21:16:54.374,5264.715694608832,1609.8801472130667,8823.53965050634
2025-06-12 21:16:57.435,5264.804785837457,1847.4882968039913,8963.290260978423
2025-06-12 21:16:58.318,5264.830485790047,1547.238158266084,8991.432943253374
2025-06-12 21:17:01.336,5264.918325492104,1842.4282782698972,8871.118941415392
2025-06-12 21:17:02.458,5264.950981604,1880.3914222121298,8743.594187821127
2025-06-12 21:17:05.320,5265.034280884081,1708.4868112557454,8665.81376919264
2025-06-12 21:17:06.346,5265.064142890148,1776.3353729238233,8831.669052722451
2025-06-12 21:17:09.326,5265.15087659198,1554.2026221400065,8951.697759695082
2025-06-12 21:17:12.337,5265.238512557153,1500.1273590113703,8703.418279566913
2025-06-12 21:17:13.373,5265.26866561591,1616.655129543981,8626.86486032011
2025-06-12 21:17:16.330,5265.354729896553,1443.0359714446365,8785.682790406552
2025-06-12 21:17:17.324,5265.38366053401,1702.5217817803632,9012.071684419428
2025-06-12 21:17:20.474,5265.475342131584,1698.8698377463934,8840.268804072568
